year,admin1,admin2,admin3,admin4,admin5,admin6,func1,func2,econ1,econ2,fin_source,exp_type,transfer,approved,adjusted,executed
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,111 Remuneration of work,111.00 Remuneration of work,Base component,Personnel,Excluding transfers,29005600,28785600,28628778
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,112 Mandatory state social insurance premiums,112.00 Mandatory state social insurance premiums,Base component,Personnel,Excluding transfers,5553100,5773100,5760683
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,"113.03 Office supplies, utensils and household goods",Base component,Non-personnel recurrent,Excluding transfers,1296900,1256200,647897.75
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,"113.03 Office supplies, utensils and household goods",Special means,Non-personnel recurrent,Excluding transfers,15000,15000,0
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.06 Books and periodicals,Base component,Non-personnel recurrent,Excluding transfers,131500,137500,114914.3
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.10 Drugs and consumables,Base component,Non-personnel recurrent,Excluding transfers,4400,4400,0
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.11 Telecommunication and mail services,Base component,Non-personnel recurrent,Excluding transfers,1008000,1008000,716541.81
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.13 Transportation services,Base component,Non-personnel recurrent,Excluding transfers,126000,126000,0
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.18 Current repair of equipment and inventory,Base component,Non-personnel recurrent,Excluding transfers,253000,233000,23413.16
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,"113.20 Use of government and local insignia/symbols, state distinction signs",Base component,Non-personnel recurrent,Excluding transfers,106900,93600,1640
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.22 Printing services,Base component,Non-personnel recurrent,Excluding transfers,116100,116100,52014.08
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.23 Representation costs,Base component,Non-personnel recurrent,Excluding transfers,1543000,1543000,737563.31
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.30 IT and PC works,Base component,Non-personnel recurrent,Excluding transfers,156000,156000,39147.39
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.30 IT and PC works,Special means,Non-personnel recurrent,Excluding transfers,0,397500,397457
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.38 Compensation for transport costs,Base component,Non-personnel recurrent,Excluding transfers,430500,430500,156453
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.39 Compensation for accommodation costs,Base component,Non-personnel recurrent,Excluding transfers,540000,540000,278862
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.45 Goods and services unattributable to any other items,Base component,Non-personnel recurrent,Excluding transfers,30000,30000,22516.2
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,114 Duty travels,114.02 Travels abroad,Base component,Non-personnel recurrent,Excluding transfers,2255800,2255800,1446840.38
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,116 Employer's share of the mandatory health insurance premiums,116.01 Employer's share of the mandatory health insurance premiums payable in the country,Base component,Personnel,Excluding transfers,845000,845000,844918.88
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,135 Transfers to population,135.11 Support for people affected by natural disasters,Base component,Non-personnel recurrent,Excluding transfers,0,114000,114000
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,135 Transfers to population,135.20 One-off financial aids granted to population by the central public authorities,Base component,Non-personnel recurrent,Excluding transfers,100000,150000,140162
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,135 Transfers to population,135.25 Other transfers made to population,Base component,Non-personnel recurrent,Excluding transfers,1360500,1196500,741210
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,136 Transfers abroad,136.01 Transfers to international governments and organizations,Base component,Non-personnel recurrent,Excluding transfers,0,4700,4660.19
2010,Central,101 Parliament,0101 Parliament,,,010 Central apparatus (office) of ministries and other administrative authorities,01 General purpose state services,01.01 Legislative authorities,242 Purchase of fixed assets,242.00 Purchase of fixed assets,Base component,Capital,Excluding transfers,0,63300,53166.02
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,111 Remuneration of work,111.00 Remuneration of work,Base component,Personnel,Excluding transfers,3176000,3176000,2879581.5
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,111 Remuneration of work,111.00 Remuneration of work,Special means,Personnel,Excluding transfers,10000,10000,10000
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,112 Mandatory state social insurance premiums,112.00 Mandatory state social insurance premiums,Base component,Personnel,Excluding transfers,626700,626700,609305.5
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,112 Mandatory state social insurance premiums,112.00 Mandatory state social insurance premiums,Special means,Personnel,Excluding transfers,2300,2300,2300
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.01 Power (electricity),Base component,Non-personnel recurrent,Excluding transfers,820500,920500,477359.63
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.01 Power (electricity),Special means,Non-personnel recurrent,Excluding transfers,120000,120000,119919.52
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.02 Natural gases,Base component,Non-personnel recurrent,Excluding transfers,3662200,2725200,2130450.75
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.02 Natural gases,Special means,Non-personnel recurrent,Excluding transfers,488100,164700,164608.5
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,"113.03 Office supplies, utensils and household goods",Base component,Non-personnel recurrent,Excluding transfers,723500,723500,432246.13
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.04 Heating,Base component,Non-personnel recurrent,Excluding transfers,85400,85400,83787.94
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.04 Heating,Special means,Non-personnel recurrent,Excluding transfers,20200,20200,20200
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.11 Telecommunication and mail services,Base component,Non-personnel recurrent,Excluding transfers,8000,8000,0
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.14 Soft inventory and equipment,Base component,Non-personnel recurrent,Excluding transfers,117300,117300,60356
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.17 Current refurbishment of premises and buildings,Base component,Non-personnel recurrent,Excluding transfers,100000,100000,18785.94
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.18 Current repair of equipment and inventory,Base component,Non-personnel recurrent,Excluding transfers,648000,588000,169278.38
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.18 Current repair of equipment and inventory,Special means,Non-personnel recurrent,Excluding transfers,50000,3300,3279
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.19 Rent-out of goods,Base component,Non-personnel recurrent,Excluding transfers,1500000,2327000,2149393
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.26 Fuel,Base component,Non-personnel recurrent,Excluding transfers,10000,0,0
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.29 Cross-department security,Base component,Non-personnel recurrent,Excluding transfers,196000,196000,194319.59
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.30 IT and PC works,Base component,Non-personnel recurrent,Excluding transfers,20000,20000,19372.07
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.34 Water supply and sewer,Base component,Non-personnel recurrent,Excluding transfers,650000,650000,458914.03
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.34 Water supply and sewer,Special means,Non-personnel recurrent,Excluding transfers,9000,9000,9000
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.35 Hygiene,Base component,Non-personnel recurrent,Excluding transfers,42300,42300,14442.96
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.45 Goods and services unattributable to any other items,Base component,Non-personnel recurrent,Excluding transfers,0,10000,8235.51
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,116 Employer's share of the mandatory health insurance premiums,116.01 Employer's share of the mandatory health insurance premiums payable in the country,Base component,Personnel,Excluding transfers,95400,95400,92577.88
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,116 Employer's share of the mandatory health insurance premiums,116.01 Employer's share of the mandatory health insurance premiums payable in the country,Special means,Personnel,Excluding transfers,400,400,350
2010,Central,101 Parliament,1001 Directorate service of the Moldovan Parliament buildings,,,218 Building maintenance services,01 General purpose state services,01.01 Legislative authorities,242 Purchase of fixed assets,242.00 Purchase of fixed assets,Base component,Capital,Excluding transfers,0,70000,69497
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,111 Remuneration of work,111.00 Remuneration of work,Base component,Personnel,Excluding transfers,4994500,4951900,4951565
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,111 Remuneration of work,111.00 Remuneration of work,Special means,Personnel,Excluding transfers,280600,280600,280600
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,112 Mandatory state social insurance premiums,112.00 Mandatory state social insurance premiums,Base component,Personnel,Excluding transfers,1062800,1099800,1085991
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,112 Mandatory state social insurance premiums,112.00 Mandatory state social insurance premiums,Special means,Personnel,Excluding transfers,64600,64600,64538
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.01 Power (electricity),Base component,Non-personnel recurrent,Excluding transfers,85000,70000,69968.58
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.01 Power (electricity),Special means,Non-personnel recurrent,Excluding transfers,5000,5000,4999.26
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,"113.03 Office supplies, utensils and household goods",Base component,Non-personnel recurrent,Excluding transfers,100000,80000,77379.03
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.06 Books and periodicals,Base component,Non-personnel recurrent,Excluding transfers,11000,11000,9991
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.09 Nutrition/food,Special means,Non-personnel recurrent,Excluding transfers,14000,19000,16864.6
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.11 Telecommunication and mail services,Base component,Non-personnel recurrent,Excluding transfers,61000,52000,41633.96
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.13 Transportation services,Base component,Non-personnel recurrent,Excluding transfers,5119000,4164000,4155182.25
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.13 Transportation services,Special means,Non-personnel recurrent,Excluding transfers,26000,21000,20999.72
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.14 Soft inventory and equipment,Base component,Non-personnel recurrent,Excluding transfers,25000,15000,14960
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.17 Current refurbishment of premises and buildings,Base component,Non-personnel recurrent,Excluding transfers,80000,170000,166504.19
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.18 Current repair of equipment and inventory,Base component,Non-personnel recurrent,Excluding transfers,40000,30000,27656
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.21 Trainings,Base component,Non-personnel recurrent,Excluding transfers,10000,0,0
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.30 IT and PC works,Base component,Non-personnel recurrent,Excluding transfers,50000,40000,33821
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.35 Hygiene,Base component,Non-personnel recurrent,Excluding transfers,10000,10000,6996.6
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,113 Payment for goods and services,113.45 Goods and services unattributable to any other items,Base component,Non-personnel recurrent,Excluding transfers,50000,53000,52664
2010,Central,101 Parliament,1002 Auto basis of the Moldovan Parliament,,,219 Transportation services,01 General purpose state services,01.01 Legislative authorities,114 Duty travels,114.02 Travels abroad,Base component,Non-personnel recurrent,Excluding transfers,20000,23000,22611
